                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1482,                0.71699,                 1.0743,                 0.9455,                0.96399,                0.98803,                0.63761,                   1.29,                 0.5809,                 1.0513,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1405,                0.70774,                 1.0756,                0.97107,                0.97222,                0.98534,                0.60264,                 1.3107,                0.57134,                 1.0765,               0.000614,               0.000614,               0.000614
                     37,                 1.1418,                0.71779,                 1.0724,                0.88489,                0.91667,                0.91814,                0.55156,                 1.4217,                0.69337,                  1.158,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1278,                0.70089,                 1.0758,                0.97205,                0.96635,                0.98575,                 0.6463,                 1.3284,                0.55813,                  1.068,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1217,                0.70112,                 1.0759,                0.96499,                0.94444,                0.97281,                0.62593,                 1.3254,                0.59055,                 1.0677,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1082,                0.70034,                 1.0671,                0.94186,                0.97222,                0.97837,                0.65518,                 1.2532,                0.62131,                 1.0325,              0.0004556,              0.0004556,              0.0004556
                     41,                0.99244,                0.57958,                 1.0241,                0.97246,                  0.981,                0.99203,                0.67625,                 1.2458,                0.51986,                 1.0247,               0.000416,               0.000416,               0.000416
                     42,                0.98317,                0.54432,                 1.0188,                0.97274,                0.99129,                0.99284,                0.63971,                 1.2452,                0.54171,                 1.0552,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.9577,                0.52883,                 1.0086,                0.97218,                0.97058,                0.99311,                0.67441,                 1.1861,                0.49221,                 1.0408,              0.0003368,              0.0003368,              0.0003368
                     44,                0.91918,                0.51731,                0.99085,                0.97286,                0.99592,                0.99284,                0.70695,                 1.1273,                0.49847,                 1.0081,              0.0002972,              0.0002972,              0.0002972
                     45,                0.92909,                0.51258,                0.99564,                0.96702,                      1,                0.99365,                0.72954,                 1.0566,                0.46869,                0.96518,              0.0002576,              0.0002576,              0.0002576
                     46,                0.92271,                0.51157,                0.99124,                0.97012,                      1,                0.99284,                0.73053,                 1.0496,                0.47922,                0.97216,               0.000218,               0.000218,               0.000218
                     47,                0.91004,                0.49231,                0.98185,                0.96855,                      1,                0.99365,                 0.7289,                 1.0433,                0.46589,                0.97683,              0.0001784,              0.0001784,              0.0001784
                     48,                0.89124,                0.49585,                0.97567,                0.97096,                      1,                0.99284,                0.69342,                 1.1141,                 0.4775,                 1.0077,              0.0001388,              0.0001388,              0.0001388
                     49,                0.87492,                0.48427,                0.97448,                0.97292,                0.99816,                0.99284,                0.72716,                 1.0323,                0.46856,                0.95107,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.87866,                0.48555,                0.97583,                0.97297,                      1,                0.99284,                0.73248,                 1.0254,                0.45554,                0.96508,               5.96e-05,               5.96e-05,               5.96e-05
